name,url,remote_testing,adaptive_irt,test_type,duration
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,No,No,"B
K",Assessment length
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,No,No,"A
B
P",Assessment length
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,No,No,"B
C",Assessment length
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,No,No,"P
B",Assessment length
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,No,No,B,Assessment length
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,No,No,"A
B
P
S",Assessment length
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,No,No,B,Assessment length
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,No,No,"A
B
P
S",Assessment length
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,No,No,"A
B
P",Assessment length
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,No,No,"A
B
P",Assessment length
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,No,No,"A
B
P",Assessment length
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,No,No,"A
B
K
P",Assessment length
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,No,No,"B
P",Assessment length
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,No,No,B,Assessment length
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,No,No,B,Assessment length
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,No,No,B,Assessment length
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,No,No,"A
B",Assessment length
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,No,No,B,Assessment length
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,No,No,B,Assessment length
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,No,No,"A
B",Assessment length
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,No,No,"A
B",Assessment length
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,No,No,"A
B
P
S",Assessment length
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,No,No,"A
B
P
S",Assessment length
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,No,No,"A
B
P
S",Assessment length
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,No,No,"A
B
P",Assessment length
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,No,No,"A
B
P",Assessment length
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,No,No,"A
B
P
S",Assessment length
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,No,No,"A
B
K
P
S",Assessment length
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,No,No,"A
B
C",Assessment length
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,No,No,"B
C
P",Assessment length
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,No,No,"B
C
P",Assessment length
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,No,No,"B
C",Assessment length
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,No,No,"B
C
P",Assessment length
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,No,No,"B
C
P",Assessment length
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,No,No,"B
K
P",Assessment length
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,No,No,"B
K
P",Assessment length
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,No,No,"A
B",Assessment length
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,No,No,"A
B",Assessment length
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,No,No,"P
S
K
B
A",Assessment length
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,No,No,"S
A
B
P",Assessment length
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,No,No,"P
A
B",Assessment length
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,No,No,"A
B
P",Assessment length
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,No,No,"A
B
K
P
S",Assessment length
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,No,No,"A
B
P",Assessment length
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,No,No,"A
B
P",Assessment length
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,No,No,"A
B
C",Assessment length
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,No,No,"B
C
P",Assessment length
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,No,No,"B
C
P",Assessment length
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,No,No,"B
C",Assessment length
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,No,No,"C
B",Assessment length
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,No,No,"B
K
P",Assessment length
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,No,No,"A
B
P
S",Assessment length
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,No,No,"A
B
P
S",Assessment length
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,No,No,S,Assessment length
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,No,No,"A
P
S
B",Assessment length
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,No,No,"A
B
P
S",Assessment length
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,No,No,"A
B
P",Assessment length
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,No,No,"A
B
P",Assessment length
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,No,No,"A
B
P",Assessment length
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,No,No,"A
B
P",Assessment length
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,No,No,"A
B
P",Assessment length
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,No,No,"A
B
K
P
S",Assessment length
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,No,No,"A
B
P",Assessment length
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,No,No,"C
B",Assessment length
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,No,No,"B
C",Assessment length
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,No,No,"A
B
P",Assessment length
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,No,No,"A
B
P",Assessment length
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-supervisor-solution/,No,No,"A
B
P",Assessment length
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-support-specialist-solution/,No,No,"A
B
P",Assessment length
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-insurance-agent-solution/,No,No,"A
B
P",Assessment length
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,No,No,"A
B
P",Assessment length
Server Solution,https://www.shl.com/solutions/products/product-catalog/view/server-solution/,No,No,"B
A
P",Assessment length
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,No,No,"A
B
P",Assessment length
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/service-supervisor-solution/,No,No,"A
B
P",Assessment length
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/view/stock-clerk-solution/,No,No,"A
B
P",Assessment length
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-0-solution/,No,No,"B
C",Assessment length
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28americas%29/,No,No,"B
C",Assessment length
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/store-manager-7-1-%28international%29/,No,No,"C
B",Assessment length
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/store-manager-solution/,No,No,"A
B
P",Assessment length
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/supervisor-short-form/,No,No,S,Assessment length
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-0-solution/,No,No,"B
C",Assessment length
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28americas%29/,No,No,"B
C
P",Assessment length
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/supervisor-7-1-%28international%29/,No,No,"P
C
B",Assessment length
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/support-associate-solution/,No,No,"A
B
P",Assessment length
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/support-supervisor-solution/,No,No,"A
P
S
B",Assessment length
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,No,No,"A
B
P",Assessment length
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/view/techniciantechnologist-solution/,No,No,"A
B
P",Assessment length
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,No,No,"C
P",Assessment length
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/view/telenurse-solution/,No,No,"A
B
P",Assessment length
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,No,No,"B
K
P
S",Assessment length
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,No,No,"A
B
K
P
S",Assessment length
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,No,No,"A
B
K
P",Assessment length
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,No,No,B,Assessment length
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,No,No,B,Assessment length
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,No,No,B,Assessment length
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,No,No,"B
C
P",Assessment length
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,No,No,"B
C
P",Assessment length
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,No,No,"B
P",Assessment length
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,No,No,K,Assessment length
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,No,No,K,Assessment length
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,No,No,K,Assessment length
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,No,No,K,Assessment length
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,No,No,K,Assessment length
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,No,No,K,Assessment length
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,No,No,P,Assessment length
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,No,No,K,Assessment length
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,No,No,K,Assessment length
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,No,No,K,Assessment length
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,No,No,K,Assessment length
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,No,No,K,Assessment length
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,No,No,K,Assessment length
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,No,No,K,Assessment length
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,No,No,K,Assessment length
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,No,No,K,Assessment length
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,No,No,K,Assessment length
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,No,No,K,Assessment length
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,No,No,K,Assessment length
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,No,No,K,Assessment length
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,No,No,E,Assessment length
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,No,No,S,Assessment length
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,No,No,S,Assessment length
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,No,No,S,Assessment length
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,No,No,S,Assessment length
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,No,No,S,Assessment length
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,No,No,S,Assessment length
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,No,No,S,Assessment length
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,No,No,S,Assessment length
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,No,No,K,Assessment length
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,No,No,K,Assessment length
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,No,No,K,Assessment length
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,No,No,"S
K",Assessment length
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,No,No,K,Assessment length
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,No,No,K,Assessment length
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,No,No,K,Assessment length
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,No,No,K,Assessment length
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,No,No,K,Assessment length
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,No,No,K,Assessment length
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,No,No,K,Assessment length
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,No,No,K,Assessment length
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,No,No,K,Assessment length
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,No,No,K,Assessment length
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,No,No,K,Assessment length
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,No,No,K,Assessment length
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,No,No,K,Assessment length
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,No,No,K,Assessment length
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,No,No,K,Assessment length
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,No,No,K,Assessment length
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,No,No,K,Assessment length
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,No,No,S,Assessment length
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,No,No,S,Assessment length
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,No,No,K,Assessment length
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,No,No,K,Assessment length
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,No,No,"K
S",Assessment length
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,No,No,K,Assessment length
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,No,No,K,Assessment length
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,No,No,"B
S",Assessment length
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,No,No,"B
P
S",Assessment length
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,No,No,K,Assessment length
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,No,No,S,Assessment length
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,No,No,K,Assessment length
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,No,No,K,Assessment length
